Temperature (K),Brightness (watts/m2),Parallax (arcsec),distance(parsec),Distance(meters),luminosity(watts),Luminosity(Solar)
5781.599217,1.22E-11,0.0104896,95.33251983,2.94196E+18,1.32E+27,3.44E+00
5767.655045,1.09E-11,0.0104784,95.43441747,2.94511E+18,1.19E+27,3.09E+00
5759.109852,1.68E-11,0.00991261,100.8816043,3.11321E+18,2.05E+27,5.33E+00
5753.451712,1.17E-11,0.0106694,93.72598272,2.89238E+18,1.24E+27,3.21E+00
5753.432749,1.31E-11,0.0110957,90.12500338,2.78126E+18,1.28E+27,3.32E+00
5746.644261,6.67E-12,0.00831087,120.3243463,3.71321E+18,1.16E+27,3.00E+00
5741.435298,1.40E-11,0.0119842,83.44320021,2.57506E+18,1.17E+27,3.04E+00
5740.357717,1.12E-11,0.00937059,106.7168663,3.29328E+18,1.53E+27,3.98E+00
5737.896785,9.65E-12,0.00823884,121.3763103,3.74567E+18,1.70E+27,4.42E+00
5737.815961,1.06E-11,0.0122245,81.80293673,2.52444E+18,8.53E+26,2.22E+00
5723.097277,5.81E-12,0.00811012,123.3027378,3.80512E+18,1.06E+27,2.75E+00
5721.058167,6.52E-12,0.0106833,93.60403621,2.88862E+18,6.84E+26,1.78E+00
5717.298422,8.13E-12,0.00790899,126.4383948,3.90189E+18,1.55E+27,4.04E+00
5696.334357,6.15E-12,0.00885299,112.9561877,3.48583E+18,9.39E+26,2.44E+00
5687.587929,6.96E-12,0.0104369,95.8138911,2.95682E+18,7.65E+26,1.99E+00
5682.958464,9.61E-12,0.0106715,93.70753877,2.89181E+18,1.01E+27,2.62E+00
5672.263494,1.27E-11,0.00923338,108.3027017,3.34222E+18,1.78E+27,4.63E+00
5665.661935,4.02E-12,0.0109656,91.19428029,2.81426E+18,4.00E+26,1.04E+00
5646.202809,9.16E-12,0.0120772,82.80064916,2.55523E+18,7.51E+26,1.95E+00
5645.620845,7.60E-12,0.011088,90.18759019,2.78319E+18,7.40E+26,1.92E+00
5607.530094,9.37E-12,0.0103475,96.64170089,2.98236E+18,1.05E+27,2.72E+00
5606.255327,8.35E-12,0.00799741,125.0404819,3.85875E+18,1.56E+27,4.06E+00
5604.043055,4.50E-12,0.0101792,98.23954731,3.03167E+18,5.20E+26,1.35E+00
5602.157744,7.35E-12,0.00925368,108.0651157,3.33489E+18,1.03E+27,2.67E+00
5597.895559,3.80E-12,0.00792345,126.2076494,3.89477E+18,7.24E+26,1.88E+00
5595.874403,6.86E-12,0.0100474,99.52823616,3.07144E+18,8.13E+26,2.11E+00
5586.876844,5.18E-12,0.0113833,87.84798784,2.71099E+18,4.78E+26,1.24E+00
5579.867424,5.73E-12,0.0100315,99.68598913,3.07631E+18,6.82E+26,1.77E+00
5566.766553,4.23E-12,0.00936953,106.7289394,3.29366E+18,5.76E+26,1.50E+00
5565.690242,4.32E-12,0.0112008,89.27933719,2.75516E+18,4.12E+26,1.07E+00
5547.94694,4.64E-12,0.00903749,110.6501916,3.41466E+18,6.79E+26,1.77E+00
5540.267099,9.93E-12,0.00982284,101.8035517,3.14166E+18,1.23E+27,3.20E+00
5535.855056,6.64E-12,0.00921776,108.4862266,3.34788E+18,9.35E+26,2.43E+00
5534.23974,6.23E-12,0.0107649,92.89449972,2.86672E+18,6.44E+26,1.67E+00
5533.633452,3.34E-12,0.00915156,109.2709877,3.3721E+18,4.77E+26,1.24E+00
